"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
62,"http://bbs.cehome.com/thread-615687-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
63,"http://bbs.cehome.com/thread-615660-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
64,"http://bbs.cehome.com/thread-615637-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
65,"http://bbs.cehome.com/thread-615610-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
66,"http://bbs.cehome.com/thread-615578-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
67,"http://bbs.cehome.com/thread-615971-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
68,"http://bbs.cehome.com/thread-615912-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
69,"http://bbs.cehome.com/thread-615895-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
70,"http://bbs.cehome.com/thread-615857-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
71,"http://bbs.cehome.com/thread-615818-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
72,"http://bbs.cehome.com/thread-615797-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
73,"http://bbs.cehome.com/thread-616435-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
74,"http://bbs.cehome.com/thread-616421-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
75,"http://bbs.cehome.com/thread-616389-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
76,"http://bbs.cehome.com/thread-616377-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
77,"http://bbs.cehome.com/thread-616366-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
78,"http://bbs.cehome.com/thread-616286-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
79,"http://bbs.cehome.com/thread-616275-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
80,"http://bbs.cehome.com/thread-616247-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
81,"http://bbs.cehome.com/thread-616238-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
82,"http://bbs.cehome.com/thread-616236-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
83,"http://bbs.cehome.com/thread-616230-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
84,"http://bbs.cehome.com/thread-617109-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
85,"http://bbs.cehome.com/thread-617090-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
86,"http://bbs.cehome.com/thread-617087-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
87,"http://bbs.cehome.com/thread-617084-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
88,"http://bbs.cehome.com/thread-617080-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
89,"http://bbs.cehome.com/thread-617065-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
90,"http://bbs.cehome.com/thread-617024-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
91,"http://bbs.cehome.com/thread-617003-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
92,"http://bbs.cehome.com/thread-616916-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
93,"http://bbs.cehome.com/thread-616892-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
94,"http://bbs.cehome.com/thread-616820-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
95,"http://bbs.cehome.com/thread-616769-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
96,"http://bbs.cehome.com/thread-616732-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
97,"http://bbs.cehome.com/thread-616703-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
98,"http://bbs.cehome.com/thread-616686-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
99,"http://bbs.cehome.com/thread-616636-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
100,"http://bbs.cehome.com/thread-616628-1-1.html",NA,NA,NA,NA,NA,NA,NA,NA
